FID,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,geom
focos_ams_ontem_hoje_ref.7d1c5c4a-667f-3304-9405-040c5eaf3d6d,-58.959,-19.547,2019-09-19T17:35:00,AQUA_M-T,Fuerte Olimpo,Alto Paraguay,Paraguay,POINT (-19.547 -58.959)
focos_ams_ontem_hoje_ref.7d1e8aa2-5616-350c-9be0-30360b8f4a36,-64.253,-14.635,2019-09-19T17:40:00,AQUA_M-T,Cercado,El Beni,Bolivia,POINT (-14.635 -64.253)
focos_ams_ontem_hoje_ref.7d2002cd-e1c2-3b1c-a7ba-85524741fe5c,-64.616,-9.163,2019-09-19T17:40:00,AQUA_M-T,PORTO VELHO,RONDÔNIA,Brasil,POINT (-9.163 -64.616)
focos_ams_ontem_hoje_ref.7d259237-2531-3050-9dce-8f99a8c59500,-40.271,-19.685,2019-09-20T16:40:00,AQUA_M-T,ARACRUZ,ESPÍRITO SANTO,Brasil,POINT (-19.685 -40.271)
focos_ams_ontem_hoje_ref.7d37cedb-940a-3312-8fa2-4ac5bad028b7,-59.168,-19.766,2019-09-19T17:35:00,AQUA_M-T,Mayor Pablo Lagerenza,Alto Paraguay,Paraguay,POINT (-19.766 -59.168)
focos_ams_ontem_hoje_ref.7d38488a-1d5a-3635-91b4-2579afd65e59,-42.789,-7.201,2019-09-19T16:00:00,AQUA_M-T,NAZARÉ DO PIAUÍ,PIAUÍ,Brasil,POINT (-7.201 -42.789)
focos_ams_ontem_hoje_ref.7d3f9c99-2eb7-334a-981c-a14a1281bd1e,-57.226,-20.578,2019-09-19T17:35:00,AQUA_M-T,PORTO MURTINHO,MATO GROSSO DO SUL,Brasil,POINT (-20.578 -57.226)
focos_ams_ontem_hoje_ref.7d4ddd03-f0c3-31be-bd04-9af8c9936124,-43.42,-18.801,2019-09-19T16:00:00,AQUA_M-T,ALVORADA DE MINAS,MINAS GERAIS,Brasil,POINT (-18.801 -43.42)
focos_ams_ontem_hoje_ref.7d5a6fe0-a390-3903-aa02-8c367c6d234a,-45.996,-19.351,2019-09-20T16:40:00,AQUA_M-T,SÃO GOTARDO,MINAS GERAIS,Brasil,POINT (-19.351 -45.996)
focos_ams_ontem_hoje_ref.7d5df080-9c1b-3812-98ce-4e30093ee7d3,-59.444,-9.383,2019-09-19T17:40:00,AQUA_M-T,COLNIZA,MATO GROSSO,Brasil,POINT (-9.383 -59.444)
focos_ams_ontem_hoje_ref.7d693571-4691-3e49-b1cd-dc90ecf8a9d2,-49.65,-20.874,2019-09-19T17:35:00,AQUA_M-T,NEVES PAULISTA,SÃO PAULO,Brasil,POINT (-20.874 -49.65)
focos_ams_ontem_hoje_ref.7d8f3b10-e510-396c-975a-e29fb8c79d70,-44.799,-6.87,2019-09-19T16:00:00,AQUA_M-T,SÃO FÉLIX DE BALSAS,MARANHÃO,Brasil,POINT (-6.87 -44.799)
focos_ams_ontem_hoje_ref.7da16925-da51-3f0f-8b4f-542a213c0e03,-47.973,-9.635,2019-09-20T16:45:00,AQUA_M-T,TOCANTÍNIA,TOCANTINS,Brasil,POINT (-9.635 -47.973)
focos_ams_ontem_hoje_ref.7da65030-8911-3cc4-a960-b245793ff8d6,-42.839,-22.337,2019-09-20T16:40:00,AQUA_M-T,TERESÓPOLIS,RIO DE JANEIRO,Brasil,POINT (-22.337 -42.839)
focos_ams_ontem_hoje_ref.7da98483-a466-36f0-a26f-b960c627e9f9,-60.527,-9.125,2019-09-19T17:40:00,AQUA_M-T,COLNIZA,MATO GROSSO,Brasil,POINT (-9.125 -60.527)
focos_ams_ontem_hoje_ref.7dad3607-ac4d-3a1f-bb59-fc5cd7a11d1e,-44.716,-7.44,2019-09-20T16:45:00,AQUA_M-T,URUÇUÍ,PIAUÍ,Brasil,POINT (-7.44 -44.716)
focos_ams_ontem_hoje_ref.7daf3a41-5d9e-3669-852b-786b14d1dd49,-41.59,-6.953,2019-09-20T16:45:00,AQUA_M-T,PICOS,PIAUÍ,Brasil,POINT (-6.953 -41.59)
focos_ams_ontem_hoje_ref.7dbe88d2-f645-3da9-8ca8-617a75f09d49,-65.292,-9.788,2019-09-19T17:40:00,AQUA_M-T,PORTO VELHO,RONDÔNIA,Brasil,POINT (-9.788 -65.292)
focos_ams_ontem_hoje_ref.7dc8832c-ed47-3c28-a84d-bf82dfe7a500,-51.486,-6.614,2019-09-20T16:45:00,AQUA_M-T,SÃO FÉLIX DO XINGU,PARÁ,Brasil,POINT (-6.614 -51.486)
focos_ams_ontem_hoje_ref.7dc917eb-0c81-3368-909f-ee826154d9aa,-69.064,-13.915,2019-09-20T18:20:00,AQUA_M-T,Sandia,Puno,Peru,POINT (-13.915 -69.064)
focos_ams_ontem_hoje_ref.7ddde0f1-08fb-3911-9f74-5b63327a62bb,-38.936,-6.588,2019-09-20T16:45:00,AQUA_M-T,CEDRO,CEARÁ,Brasil,POINT (-6.588 -38.936)
focos_ams_ontem_hoje_ref.7de62af3-d18b-376a-944a-16980ba668fa,-50.555,-17.841,2019-09-19T17:35:00,AQUA_M-T,SANTA HELENA DE GOIÁS,GOIÁS,Brasil,POINT (-17.841 -50.555)
focos_ams_ontem_hoje_ref.7de7f2f6-e6b3-3cdb-9fe9-f52c1a0a3a70,-69.626,-10.717,2019-09-19T17:40:00,AQUA_M-T,BRASILÉIA,ACRE,Brasil,POINT (-10.717 -69.626)
focos_ams_ontem_hoje_ref.7df61aed-a662-393e-809f-7d0c4f4d6379,-42.346,-7.311,2019-09-20T16:45:00,AQUA_M-T,SÃO FRANCISCO DO PIAUÍ,PIAUÍ,Brasil,POINT (-7.311 -42.346)
focos_ams_ontem_hoje_ref.7df8dcad-8e0b-3acb-aea2-c8712987022b,-58.869,-17.136,2019-09-19T17:35:00,AQUA_M-T,José Miguel de Velasco,Santa Cruz,Bolivia,POINT (-17.136 -58.869)
focos_ams_ontem_hoje_ref.7e219928-dd64-3d9a-84dc-74323181f272,-65.317,-10.935,2019-09-19T17:40:00,AQUA_M-T,Vaca Díez,El Beni,Bolivia,POINT (-10.935 -65.317)
focos_ams_ontem_hoje_ref.7e3c1a19-af6a-35b2-8dde-e876532c7353,-62.964,-16.951,2019-09-19T17:35:00,AQUA_M-T,Ñuflo de Chávez,Santa Cruz,Bolivia,POINT (-16.951 -62.964)
focos_ams_ontem_hoje_ref.7e412d06-05e2-3e89-b29c-c56688184e32,-65.083,-8.839,2019-09-20T18:20:00,AQUA_M-T,LÁBREA,AMAZONAS,Brasil,POINT (-8.839 -65.083)
focos_ams_ontem_hoje_ref.7e4284bd-9985-36e4-b5e9-fd9ab4f602fa,-48.307,-17.311,2019-09-19T17:35:00,AQUA_M-T,PIRES DO RIO,GOIÁS,Brasil,POINT (-17.311 -48.307)
focos_ams_ontem_hoje_ref.7e4f8e8e-5774-3b61-a595-4299bcd1281f,-59.398,-16.981,2019-09-19T17:35:00,AQUA_M-T,José Miguel de Velasco,Santa Cruz,Bolivia,POINT (-16.981 -59.398)
focos_ams_ontem_hoje_ref.7e51a9be-cb8c-362e-b06b-153c762c99f5,-65.226,-15.678,2019-09-19T17:40:00,AQUA_M-T,Moxos,El Beni,Bolivia,POINT (-15.678 -65.226)
focos_ams_ontem_hoje_ref.7e5422b2-0c17-3f44-bd2d-81157c4c5a34,-59.644,-16.767,2019-09-19T17:35:00,AQUA_M-T,José Miguel de Velasco,Santa Cruz,Bolivia,POINT (-16.767 -59.644)
focos_ams_ontem_hoje_ref.7e5495bb-9c62-3de4-bedb-2c6f90b7b4b5,-45.179,-5.57,2019-09-19T16:00:00,AQUA_M-T,BARRA DO CORDA,MARANHÃO,Brasil,POINT (-5.57 -45.179)
focos_ams_ontem_hoje_ref.7e56997a-13ba-337c-ba28-a90d2218f0e3,-58.575,-17.931,2019-09-19T17:35:00,AQUA_M-T,José Miguel de Velasco,Santa Cruz,Bolivia,POINT (-17.931 -58.575)
