FID,longitude,latitude,data_hora_gmt,satelite,municipio,estado,pais,geom
focos_ams_hoje_ref.12b5e0d9-5678-34d7-b664-f9b84b09a1af,-45.508,-9.618,2019-09-20T16:45:00,AQUA_M-T,GILBUÉS,PIAUÍ,Brasil,POINT (-9.618 -45.508)
focos_ams_hoje_ref.12b8af4e-40f6-3472-9ebd-c35b936126c8,-40.177,-17.369,2019-09-20T16:40:00,AQUA_M-T,MEDEIROS NETO,BAHIA,Brasil,POINT (-17.369 -40.177)
focos_ams_hoje_ref.12d0e503-792c-35dc-84f3-e0f9fc84e9b0,-59.914,-28.534,2019-09-20T18:15:00,AQUA_M-T,Vera,Santa Fe,Argentina,POINT (-28.534 -59.914)
focos_ams_hoje_ref.1320e103-4b23-3578-9d94-266f7f726e94,-42.958,-19.226,2019-09-20T16:40:00,AQUA_M-T,FERROS,MINAS GERAIS,Brasil,POINT (-19.226 -42.958)
focos_ams_hoje_ref.134b72ad-aeec-3057-ae4a-6c43ff7fabd7,-42.815,-6.397,2019-09-20T16:45:00,AQUA_M-T,AMARANTE,PIAUÍ,Brasil,POINT (-6.397 -42.815)
focos_ams_hoje_ref.134e19d6-d118-3cbf-84f7-346b5d723691,-45.542,-5.5,2019-09-20T16:45:00,AQUA_M-T,JENIPAPO DOS VIEIRAS,MARANHÃO,Brasil,POINT (-5.5 -45.542)
focos_ams_hoje_ref.13602363-8017-3403-b9cd-d177a0a01d6d,-44.726,-7.727,2019-09-20T16:45:00,AQUA_M-T,URUÇUÍ,PIAUÍ,Brasil,POINT (-7.727 -44.726)
focos_ams_hoje_ref.137cd67c-b7bd-3fa3-ba6f-243f5942c31a,-70.88,-14.91,2019-09-20T18:20:00,AQUA_M-T,Melgar,Puno,Peru,POINT (-14.91 -70.88)
focos_ams_hoje_ref.137f769b-b1b3-3284-a3b0-0094671fd452,-46.394,-9.405,2019-09-20T16:45:00,AQUA_M-T,ALTO PARNAÍBA,MARANHÃO,Brasil,POINT (-9.405 -46.394)
focos_ams_hoje_ref.138d79f6-5bde-39db-b9d8-7df01977b073,-51.228,-10.844,2019-09-20T16:45:00,AQUA_M-T,PORTO ALEGRE DO NORTE,MATO GROSSO,Brasil,POINT (-10.844 -51.228)
focos_ams_hoje_ref.139c2d96-28f1-3064-82b4-2d214fa7fe2d,-64.073,-38.148,2019-09-20T18:15:00,AQUA_M-T,Hucal,La Pampa,Argentina,POINT (-38.148 -64.073)
focos_ams_hoje_ref.13a55d8d-c6f6-385c-8920-5ed948505eb3,-64.982,-7.51,2019-09-20T18:25:00,AQUA_M-T,LÁBREA,AMAZONAS,Brasil,POINT (-7.51 -64.982)
focos_ams_hoje_ref.13b8aae5-8ce4-3790-b51a-f8b50c2a13e1,-47.875,-10.69,2019-09-20T16:45:00,AQUA_M-T,MONTE DO CARMO,TOCANTINS,Brasil,POINT (-10.69 -47.875)
focos_ams_hoje_ref.13c9d844-d239-3090-bd18-4a85d0fb0017,-41.748,-20.209,2019-09-20T16:40:00,AQUA_M-T,IÚNA,ESPÍRITO SANTO,Brasil,POINT (-20.209 -41.748)
focos_ams_hoje_ref.13d8427d-d468-3dcb-a5b9-5130bb0bb41c,-69.013,-10.814,2019-09-20T18:20:00,AQUA_M-T,BRASILÉIA,ACRE,Brasil,POINT (-10.814 -69.013)
focos_ams_hoje_ref.141c38a5-98bb-3450-954b-20e6b0694548,-72.599,-8.957,2019-09-20T18:25:00,AQUA_M-T,MARECHAL THAUMATURGO,ACRE,Brasil,POINT (-8.957 -72.599)
focos_ams_hoje_ref.1422c9d6-9716-3845-9e36-5cc4c6a25148,-54.948,-8.633,2019-09-20T16:45:00,AQUA_M-T,ALTAMIRA,PARÁ,Brasil,POINT (-8.633 -54.948)
focos_ams_hoje_ref.142ce087-27e5-366e-b7de-c7599ce273fa,-51.245,-5.537,2019-09-20T16:45:00,AQUA_M-T,SÃO FÉLIX DO XINGU,PARÁ,Brasil,POINT (-5.537 -51.245)
focos_ams_hoje_ref.1453cb47-23c1-3fd7-a363-0a71535cc428,-57.42,-25.705,2019-09-20T18:20:00,AQUA_M-T,Carapeguá,Paraguarí,Paraguay,POINT (-25.705 -57.42)
focos_ams_hoje_ref.145ece9a-d6fe-3a09-b51b-2fc47fb0f727,-47.359,-6.683,2019-09-20T16:45:00,AQUA_M-T,ESTREITO,MARANHÃO,Brasil,POINT (-6.683 -47.359)
focos_ams_hoje_ref.14681c3b-4615-3547-952e-9a672822c4ca,-72.273,-7.726,2019-09-20T18:25:00,AQUA_M-T,CRUZEIRO DO SUL,ACRE,Brasil,POINT (-7.726 -72.273)
focos_ams_hoje_ref.1479e675-a259-389a-b161-c48a5ee9d13d,-45.257,-5.728,2019-09-20T16:45:00,AQUA_M-T,BARRA DO CORDA,MARANHÃO,Brasil,POINT (-5.728 -45.257)
focos_ams_hoje_ref.149d79c6-8456-3b36-bacd-a2c6697340bd,-54.739,-11.855,2019-09-20T16:45:00,AQUA_M-T,SANTA CARMEM,MATO GROSSO,Brasil,POINT (-11.855 -54.739)
focos_ams_hoje_ref.14a93989-ece2-39fe-8b3b-de6365944f3f,-52.979,-15.41,2019-09-20T16:40:00,AQUA_M-T,BARRA DO GARÇAS,MATO GROSSO,Brasil,POINT (-15.41 -52.979)
focos_ams_hoje_ref.14af1e19-28bb-3686-a0f4-4ca6eb74e318,-50.9,-2.306,2019-09-20T16:45:00,AQUA_M-T,PORTEL,PARÁ,Brasil,POINT (-2.306 -50.9)
focos_ams_hoje_ref.14b735d5-b4a4-3c1b-9178-cd1819f610fa,-63.92,-26.312,2019-09-20T18:20:00,AQUA_M-T,Pellegrini,Santiago del Estero,Argentina,POINT (-26.312 -63.92)
focos_ams_hoje_ref.14f27f11-89a0-3e77-a8d7-c0d09dcb1781,-70.323,-12.883,2019-09-20T18:20:00,AQUA_M-T,Tambopata,Madre de Dios,Peru,POINT (-12.883 -70.323)
focos_ams_hoje_ref.152b3a6a-db54-31ba-8acc-8656520c978f,-71.861,-9.185,2019-09-20T18:25:00,AQUA_M-T,JORDÃO,ACRE,Brasil,POINT (-9.185 -71.861)
focos_ams_hoje_ref.1549b55c-9e36-3744-8ccd-1fa708841eb2,-50.798,-11.635,2019-09-20T16:45:00,AQUA_M-T,SÃO FÉLIX DO ARAGUAIA,MATO GROSSO,Brasil,POINT (-11.635 -50.798)
focos_ams_hoje_ref.155b1ebd-7ea8-32d5-a3fb-b66968fd3bf5,-68.414,-13.689,2019-09-20T18:20:00,AQUA_M-T,Abel Iturralde,La Paz,Bolivia,POINT (-13.689 -68.414)
focos_ams_hoje_ref.15656730-6707-3d0f-a389-0e1064619db1,-58.044,-2.943,2019-09-20T16:45:00,AQUA_M-T,URUCURITUBA,AMAZONAS,Brasil,POINT (-2.943 -58.044)
focos_ams_hoje_ref.156a29bb-e144-3169-82d3-dde5c6b0a181,-60.642,-24.998,2019-09-20T18:20:00,AQUA_M-T,Patiño,Formosa,Argentina,POINT (-24.998 -60.642)
focos_ams_hoje_ref.156cdfa8-b5ef-373f-9e17-0050e2e31f43,-45.275,-7.495,2019-09-20T16:45:00,AQUA_M-T,LORETO,MARANHÃO,Brasil,POINT (-7.495 -45.275)
focos_ams_hoje_ref.15793ccd-a5c2-35b7-85de-7052fb1c4781,-58.892,-19.436,2019-09-20T18:20:00,AQUA_M-T,Chiquitos,Santa Cruz,Bolivia,POINT (-19.436 -58.892)
focos_ams_hoje_ref.157d10c1-4dd1-360a-b00b-3190b338b8fd,-64.173,-34.446,2019-09-20T18:15:00,AQUA_M-T,General Roca,Córdoba,Argentina,POINT (-34.446 -64.173)
focos_ams_hoje_ref.1589ee59-0d20-319e-abc0-5167561f50ef,-68.37,-32.947,2019-09-20T18:15:00,AQUA_M-T,San Martín,Mendoza,Argentina,POINT (-32.947 -68.37)
focos_ams_hoje_ref.158ae808-117a-3733-b367-e4088d402695,-48.227,-8.191,2019-09-20T16:45:00,AQUA_M-T,TUPIRATINS,TOCANTINS,Brasil,POINT (-8.191 -48.227)
focos_ams_hoje_ref.15b4c1fe-8735-3bc9-a981-c190255d74cc,-72.557,-13.589,2019-09-20T18:20:00,AQUA_M-T,Abancay,Apurímac,Peru,POINT (-13.589 -72.557)
focos_ams_hoje_ref.15c8ddb2-c90b-3e3d-ac81-85fcab52ac40,-70.606,-12.446,2019-09-20T18:20:00,AQUA_M-T,Manu,Madre de Dios,Peru,POINT (-12.446 -70.606)
focos_ams_hoje_ref.15d0d250-4175-35a2-846b-c88b36d3f868,-48.236,-8.193,2019-09-20T16:45:00,AQUA_M-T,TUPIRATINS,TOCANTINS,Brasil,POINT (-8.193 -48.236)
focos_ams_hoje_ref.15fdd7d7-ecb9-3cba-a8d3-bf0d50af6afa,-44.878,-11.596,2019-09-20T16:45:00,AQUA_M-T,RIACHÃO DAS NEVES,BAHIA,Brasil,POINT (-11.596 -44.878)
focos_ams_hoje_ref.1609b927-d9bd-36ef-beb2-6ec1740bd17d,-41.664,-19.896,2019-09-20T16:40:00,AQUA_M-T,CONCEIÇÃO DE IPANEMA,MINAS GERAIS,Brasil,POINT (-19.896 -41.664)
focos_ams_hoje_ref.160b25c1-38b3-3450-b36b-fa2297ca8887,-45.153,-5.994,2019-09-20T16:45:00,AQUA_M-T,FERNANDO FALCÃO,MARANHÃO,Brasil,POINT (-5.994 -45.153)
focos_ams_hoje_ref.161f3637-222c-315c-943f-74968d1a5f1f,-38.838,-6.65,2019-09-20T16:45:00,AQUA_M-T,UMARI,CEARÁ,Brasil,POINT (-6.65 -38.838)
focos_ams_hoje_ref.161ffbd4-8573-3f83-a8e2-10c4dfc66819,-53.522,-4.179,2019-09-20T16:45:00,AQUA_M-T,ALTAMIRA,PARÁ,Brasil,POINT (-4.179 -53.522)
focos_ams_hoje_ref.163369bb-94c8-3ae1-8743-eb2c8fcc9090,-56.553,-28.179,2019-09-20T18:15:00,AQUA_M-T,Santo Tomé,Corrientes,Argentina,POINT (-28.179 -56.553)
focos_ams_hoje_ref.164846bd-6f05-38b0-ab51-7e9a14a6cf72,-62.233,-36.838,2019-09-20T18:15:00,AQUA_M-T,Guaminí,Buenos Aires,Argentina,POINT (-36.838 -62.233)
