DOY,2012,2013,2014,2015,2016,2017,2018,2019
278,751053,379305,532944,671045,637265,808381,442123,
279,759050,382734,538527,678289,641269,818357,444360,
280,767587,384326,547298,683657,643476,825251,445979,
281,775804,386429,559327,688748,646046,830322,448352,
282,786891,388827,567098,695201,650437,834740,452340,
283,795917,391489,580593,700652,654001,840901,458020,
284,800032,394839,588171,707674,658468,847746,461803,
285,801381,400688,593911,717902,666186,854718,464440,
286,803896,406191,598392,729644,671486,859642,467781,
287,808161,411626,606404,742335,681348,863126,471771,
288,810354,415586,617666,755119,695043,866773,476695,
289,812756,419808,626091,770884,709863,871345,480220,
290,815940,422180,635559,792942,722934,877252,484325,
291,817824,425038,643185,810961,732502,885348,486959,
292,820644,426630,649685,820848,741881,892066,488817,
293,826822,428899,653895,828936,751206,898780,490615,
294,835025,433246,657177,839844,755902,908620,492314,
295,843380,436020,658857,854317,757631,923859,493910,
296,850436,439903,660162,862788,759507,935448,496857,
297,858961,443239,661887,868633,760609,942257,501964,
298,870597,446510,663937,875846,761053,947164,508814,
299,877443,450572,665174,882197,762971,951205,515877,
300,880964,453563,668039,888239,765694,954382,521032,
301,883556,456282,670637,893106,767495,958288,522798,
302,887097,458620,674288,897968,768704,963051,525187,
303,893239,459391,675889,901177,770182,965699,528640,
304,900165,460084,681254,904017,772711,966598,531924,
305,905339,461873,686363,905914,776021,967977,534833,
306,908418,463349,689728,908859,779560,971868,536932,
307,911075,464909,692201,912315,784753,975456,538687,
308,913506,465388,694502,916199,787281,978673,540123,
309,919181,465606,697365,919402,792679,983330,541324,
310,925414,466222,701835,923020,799576,987269,542870,
311,928505,467605,704647,928635,803484,991837,543530,
312,930739,469825,707085,934133,805220,994018,544664,
313,933726,471853,708648,937339,807077,997571,546232,
314,937250,473174,711631,941486,809092,1000476,549141,
315,940749,475461,715703,946502,811517,1003572,552194,
316,942632,476861,718136,952804,813849,1008202,554375,
317,944694,478871,719461,960851,816315,1014657,557381,
318,946651,481592,721288,968152,818217,1019340,560290,
319,948882,483163,724408,976585,820556,1021641,563681,
320,951370,484435,727034,982882,823487,1023270,565851,
321,954887,485402,728371,989816,825866,1026651,570410,
322,957814,487179,730720,994739,828707,1031651,574110,
323,961362,490274,732031,1000975,830203,1034276,576888,
324,965367,492033,733101,1004037,831699,1038331,580811,
325,970702,493109,734506,1006907,832953,1041200,584460,
326,974548,495113,736698,1013346,833883,1045258,586831,
327,975345,495933,738425,1022999,836097,1048395,588036,
328,978759,497333,740598,1030191,838125,1051085,588726,
329,980580,499060,744949,1035092,839790,1052863,589710,
330,983112,500671,749735,1039771,843434,1055175,590751,
331,987550,501388,753675,1044460,848092,1057869,591048,
332,991681,501817,756675,1050960,851874,1061655,591476,
333,993919,502497,758786,1060779,855435,1065970,591530,
334,995261,503543,762135,1071758,859644,1068780,591550,
335,995808,504753,766399,1086212,863798,1070740,591657,
336,996308,506494,771113,1095944,866296,1075145,591849,
337,997072,509581,774855,1101434,868933,1081738,591915,
338,997755,515146,777009,1107776,871050,1093493,592007,
339,998847,520587,777761,1112680,872673,1105048,592152,
340,1000453,523600,778898,1115526,874981,1109575,592297,
341,1002543,525636,780373,1118133,878449,1111744,592507,
342,1004498,528170,781077,1123249,881879,1114240,592692,
343,1006930,531665,782691,1132565,884357,1118179,592856,
344,1008236,534333,783839,1139258,886299,1121405,593030,
345,1009623,536468,785324,1141917,887906,1124299,593304,
346,1011046,537888,786598,1144927,889215,1126516,593673,
347,1013314,539051,787871,1148728,890877,1127235,594333,
348,1015360,541082,789297,1154952,892153,1127434,594827,
349,1016905,543228,790225,1160853,892689,1127866,595209,
350,1017900,545180,791946,1164234,892806,1128301,595703,
351,1018054,546525,793721,1167208,892916,1128939,597014,
352,1018282,547383,795592,1170835,893236,1129161,597973,
353,1019454,547884,796609,1176619,893292,1129464,599030,
354,1020754,548184,798064,1178834,893320,1129760,600004,
355,1021578,548796,799150,1180173,893406,1130251,600836,
356,1022585,548905,800418,1181748,893499,1131431,601721,
357,1023598,549123,801401,1183233,893769,1131965,601991,
358,1024261,549474,802232,1185449,894079,1132063,602175,
359,1024587,549750,802559,1187819,894296,1132178,602445,
360,1024753,550012,803425,1192027,894441,1132489,602810,
361,1025142,550516,805337,1194218,894848,1132920,604739,
362,1025715,550920,807018,1196090,895334,1133430,608355,
363,1026238,551283,808049,1201191,896053,1133894,609616,
364,1026733,551806,809704,1207777,896806,1134031,610497,
365,1027019,553083,810525,1209518,897557,1134503,610828,
